subject ID,age,gender,handedness,question ID,questionnaire type,condition,delay time,value
77,777,Female,Rigth handed,0,VAS,self,0,0.589801
77,777,Female,Rigth handed,1,VAS,self,0,0.4871741
77,777,Female,Rigth handed,2,VAS,self,0,0.559715
77,777,Female,Rigth handed,3,VAS,self,0,0.5323229
77,777,Female,Rigth handed,4,VAS,self,0,0.5283633
77,777,Female,Rigth handed,5,VAS,self,0,0.726979
77,777,Female,Rigth handed,6,VAS,self,0,0.6015572
77,777,Female,Rigth handed,7,VAS,self,0,0.6091155
77,777,Female,Rigth handed,8,VAS,self,0,0.5773044
77,777,Female,Rigth handed,9,VAS,self,0,0.33129
77,777,Female,Rigth handed,0,VAS,self,0,0.283925
77,777,Female,Rigth handed,1,VAS,self,0,0.4448037
77,777,Female,Rigth handed,2,VAS,self,0,0.4109981
77,777,Female,Rigth handed,3,VAS,self,0,0.3976032
77,777,Female,Rigth handed,4,VAS,self,0,0.4033435
77,777,Female,Rigth handed,5,VAS,self,0,0.3728133
77,777,Female,Rigth handed,6,VAS,self,0,0.3800952
77,777,Female,Rigth handed,7,VAS,self,0,0.399029
77,777,Female,Rigth handed,8,VAS,self,0,0.3710013
77,777,Female,Rigth handed,9,VAS,self,0,0.3811858
