subject ID,age,gender,handedness,question ID,questionnaire type,condition,delay time,value
ab,cd,Female,Rigth handed,0,ForcedChoice,self,0,1
ab,cd,Female,Rigth handed,1,ForcedChoice,self,0,1
ab,cd,Female,Rigth handed,2,ForcedChoice,self,0,1
ab,cd,Female,Rigth handed,3,ForcedChoice,self,0,1
ab,cd,Female,Rigth handed,4,ForcedChoice,self,0,1
ab,cd,Female,Rigth handed,5,ForcedChoice,self,0,1
ab,cd,Female,Rigth handed,6,ForcedChoice,self,0,1
ab,cd,Female,Rigth handed,7,ForcedChoice,self,0,1
ab,cd,Female,Rigth handed,8,ForcedChoice,self,0,1
ab,cd,Female,Rigth handed,9,ForcedChoice,self,0,1
ab,cd,Female,Rigth handed,10,ForcedChoice,self,0,1
ab,cd,Female,Rigth handed,11,ForcedChoice,self,0,1
ab,cd,Female,Rigth handed,12,ForcedChoice,self,0,1
ab,cd,Female,Rigth handed,13,ForcedChoice,self,0,1
ab,cd,Female,Rigth handed,14,ForcedChoice,self,0,1
ab,cd,Female,Rigth handed,15,ForcedChoice,self,0,1
ab,cd,Female,Rigth handed,16,ForcedChoice,self,0,1
ab,cd,Female,Rigth handed,17,ForcedChoice,self,0,1
ab,cd,Female,Rigth handed,18,ForcedChoice,self,0,1
ab,cd,Female,Rigth handed,19,ForcedChoice,self,0,1
ab,cd,Female,Rigth handed,20,ForcedChoice,self,0,1
ab,cd,Female,Rigth handed,21,ForcedChoice,self,0,1
ab,cd,Female,Rigth handed,22,ForcedChoice,self,0,1
ab,cd,Female,Rigth handed,23,ForcedChoice,self,0,1
ab,cd,Female,Rigth handed,24,ForcedChoice,self,0,1
ab,cd,Female,Rigth handed,25,ForcedChoice,self,0,1
ab,cd,Female,Rigth handed,26,ForcedChoice,self,0,1
ab,cd,Female,Rigth handed,27,ForcedChoice,self,0,1
ab,cd,Female,Rigth handed,28,ForcedChoice,self,0,1
ab,cd,Female,Rigth handed,29,ForcedChoice,self,0,1
ab,cd,Female,Rigth handed,30,ForcedChoice,self,0,1
ab,cd,Female,Rigth handed,31,ForcedChoice,self,0,1
ab,cd,Female,Rigth handed,32,ForcedChoice,self,0,1
ab,cd,Female,Rigth handed,33,ForcedChoice,self,0,1
ab,cd,Female,Rigth handed,34,ForcedChoice,self,0,1
ab,cd,Female,Rigth handed,35,ForcedChoice,self,0,1
ab,cd,Female,Rigth handed,36,ForcedChoice,self,0,1
ab,cd,Female,Rigth handed,37,ForcedChoice,self,0,1
ab,cd,Female,Rigth handed,38,ForcedChoice,self,0,1
ab,cd,Female,Rigth handed,39,ForcedChoice,self,0,1
ab,cd,Female,Rigth handed,40,ForcedChoice,self,0,1
ab,cd,Female,Rigth handed,41,ForcedChoice,self,0,1
subject ID,age,gender,handedness,question ID,questionnaire type,condition,delay time,value
ab,cd,Female,Rigth handed,0,ForcedChoice,self,1,1
