subject ID,age,gender,handedness,question ID,questionnaire type,condition,delay time,value
xWEM2NMm,23,Female,Left handed,0,VAS,left,1,0.924449
xWEM2NMm,23,Female,Left handed,1,VAS,left,1,0.7797797
xWEM2NMm,23,Female,Left handed,2,VAS,left,1,0.8378158
xWEM2NMm,23,Female,Left handed,3,VAS,left,1,0.8395948
xWEM2NMm,23,Female,Left handed,4,VAS,left,1,0.7868864
xWEM2NMm,23,Female,Left handed,5,VAS,left,1,0.2166217
xWEM2NMm,23,Female,Left handed,6,VAS,left,1,0.6919735
xWEM2NMm,23,Female,Left handed,7,VAS,left,1,0.2832137
xWEM2NMm,23,Female,Left handed,8,VAS,left,1,0.7735267
xWEM2NMm,23,Female,Left handed,9,VAS,left,1,0.2092178
xWEM2NMm,23,Female,Left handed,10,VAS,left,1,0.9280981
xWEM2NMm,23,Female,Left handed,11,VAS,left,1,0.799919
xWEM2NMm,23,Female,Left handed,0,VAS,right,1,0.8402582
xWEM2NMm,23,Female,Left handed,1,VAS,right,1,0.8147493
xWEM2NMm,23,Female,Left handed,2,VAS,right,1,0.8316734
xWEM2NMm,23,Female,Left handed,3,VAS,right,1,0.8447445
xWEM2NMm,23,Female,Left handed,4,VAS,right,1,0.8019651
xWEM2NMm,23,Female,Left handed,5,VAS,right,1,0.2340763
xWEM2NMm,23,Female,Left handed,6,VAS,right,1,0.6358771
xWEM2NMm,23,Female,Left handed,7,VAS,right,1,0.2380702
xWEM2NMm,23,Female,Left handed,8,VAS,right,1,0.7287516
xWEM2NMm,23,Female,Left handed,9,VAS,right,1,0.2389208
xWEM2NMm,23,Female,Left handed,10,VAS,right,1,0.9253665
xWEM2NMm,23,Female,Left handed,11,VAS,right,1,0.7249235
xWEM2NMm,23,Female,Left handed,0,VAS,left,0,0.2962068
xWEM2NMm,23,Female,Left handed,1,VAS,left,0,0.2475431
xWEM2NMm,23,Female,Left handed,2,VAS,left,0,0.3407443
xWEM2NMm,23,Female,Left handed,3,VAS,left,0,0.6135885
xWEM2NMm,23,Female,Left handed,4,VAS,left,0,0.6063184
xWEM2NMm,23,Female,Left handed,5,VAS,left,0,0.1358261
xWEM2NMm,23,Female,Left handed,6,VAS,left,0,0.7525603
xWEM2NMm,23,Female,Left handed,7,VAS,left,0,0.5368785
xWEM2NMm,23,Female,Left handed,8,VAS,left,0,0.7206634
xWEM2NMm,23,Female,Left handed,9,VAS,left,0,0.825828
xWEM2NMm,23,Female,Left handed,10,VAS,left,0,0.9428847
xWEM2NMm,23,Female,Left handed,11,VAS,left,0,0.2784528
xWEM2NMm,23,Female,Left handed,0,VAS,right,0,0.2529208
xWEM2NMm,23,Female,Left handed,1,VAS,right,0,0.622588
xWEM2NMm,23,Female,Left handed,2,VAS,right,0,0.6555098
xWEM2NMm,23,Female,Left handed,3,VAS,right,0,0.6745675
xWEM2NMm,23,Female,Left handed,4,VAS,right,0,0.7141838
xWEM2NMm,23,Female,Left handed,5,VAS,right,0,0.1733241
xWEM2NMm,23,Female,Left handed,6,VAS,right,0,0.7209581
xWEM2NMm,23,Female,Left handed,7,VAS,right,0,0.2593721
xWEM2NMm,23,Female,Left handed,8,VAS,right,0,0.2504228
xWEM2NMm,23,Female,Left handed,9,VAS,right,0,0.7972125
xWEM2NMm,23,Female,Left handed,10,VAS,right,0,0.9544693
xWEM2NMm,23,Female,Left handed,11,VAS,right,0,0.1218139
